Competition,Location,Date,Competitor Name,Country,Judging,Finals,Round 2,Round 3,Routine,Total,Place,Competition Type
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Mariam CAPES,Canada,86,88,95,63,,332,18,Fitness
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Heidi FLETCHER,USA,74,75,72,68,,289,15,Fitness
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Bethany GAINEY,USA,40,35,61,73,,209,12,Fitness
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Adela GARCIA,USA,6,7,17,12,,42,1,Fitness
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Tracey GREENWOOD,USA,32,30,39,39,,140,5,Fitness
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Oksana GRISHINA,Russia,56,64,19,7,,146,7,Fitness
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Jen HENDERSHOTT,USA,25,22,5,17,,69,3,Fitness
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Amy HUBER,USA,83,87,75,77,,322,16,Fitness
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Tanji JOHNSON,USA,18,22,17,23,,80,4,Fitness
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Kim KLEIN,USA,9,8,18,15,,50,2,Fitness
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Julie LOHRE,USA,40,55,44,47,,186,8,Fitness
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Rosi MENA,Spain,92,92,88,78,,350,19,Fitness
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Angela MONTELEONE-SEMSCH,USA,43,66,83,88,,280,14,Fitness
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Mindi O’BRIEN,Canada,58,43,48,49,,198,10,Fitness
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Julie PALMER,USA,16,16,57,52,,141,6,Fitness
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Julie SHIPLEY-CHILDS,USA,56,43,48,45,,192,9,Fitness
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Regaine DASILVA,Germany,73,67,64,58,,262,13,Fitness
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Stacy SIMONS,USA,62,47,44,51,,204,11,Fitness
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Stephanie WORSFOLD,Canada,81,86,78,87,,332,17,Fitness
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Heather ARMBRUST,USA,54,28,24,,,106,5,Women's Bodybuilding
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Lisa AUKLAND,USA,30,20,20,,,70,4,Women's Bodybuilding
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Nicole BALL,Canada,86,44,,,,130,8,Women's Bodybuilding
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Dayana CADEAU,Canada,20,12,10,,,42,2,Women's Bodybuilding
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Valentina CHEPIGA,Ukraine,110,52,,,,162,11,Women's Bodybuilding
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Tazzie COLOMB,USA,128,66,,,,194,12,Women's Bodybuilding
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Sarah DUNLAP,USA,88,46,,,,134,9,Women's Bodybuilding
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Stephanie KESSLER,USA,136,65,,,,201,14,Women's Bodybuilding
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Iris KYLE,USA,10,5,5,,,20,1,Women's Bodybuilding
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Mah-Ann MENDOZA,USA,132,63,,,,195,13,Women's Bodybuilding
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Yaxeni ORIQUEN-GARCIA,Venezuela,40,12,16,,,68,3,Women's Bodybuilding
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Betty PARISO,USA,62,31,30,,,123,6,Women's Bodybuilding
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Bonny PRIEST,USA,70,32,,,,102,7,Women's Bodybuilding
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Annie RIVIECCO,USA,98,48,,,,146,10,Women's Bodybuilding
2007 Olympia,"Las Vegas, Nevada, USA","September 28, 2007",Antoinette THOMPSON,USA,144,73,,,,217,15,Women's Bodybuilding
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Sonia ADCOCK,USA,17,16,,,,33,3,FIGURE
2007 OLYMPIA,"Las Vegas, Nevada, USA","September 29, 2007",Gina ALIOTTI,USA,10,10,,,,20,2,FIGURE
